Date,Set,Order,LayingDate,Age,TofDay,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,Stimulus,MinTo30y30,TestEggs,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,FirstHatch(s),FirstHatch(cycles),FirstHatch(s)600,EPPBK,EP3m,PropH,DorsalIMG1,DorsalIMG2,DorsalIMG3,TadLength1,TadLength2,TadLength3
20160705,7,19,20160630,5,5dAM,Y,7,45,0,7.75,127.75,C248,1,13,s,3.529411765,13,7,51,15,7.854166667,471.25,127.8541667,7,55,5,7.918055556,475.0833333,3.833333333,13.52941176,3.833333333,12,12,0.076923077,5013,5018,5022,1.057,1.056,1.162
20160705,7,20,20160630,5,5dAM,Y,8,3,0,8.05,128.05,C238,3,12,c,30,12,8,9,50,8.163888889,489.8333333,128.1638889,8,10,4,8.167777778,490.0666667,0.233333333,7,0.233333333,1,1,0.916666667,5024,5026,5033,1.206,1.208,1.23
20160705,7,21,20160630,5,5dAM,Y,8,18,50,8.313888889,128.3138889,C239,1,14,f,100,13,8,23,50,8.397222222,503.8333333,128.3972222,8,24,12,8.403333333,504.2,0.366666667,36.66666667,0.366666667,7,7,0.461538462,5036,5037,5039,1.116,1.162,1.13
20160705,8,22,20160630,5,5dAM,Y,8,33,37,8.560277778,128.5602778,C238,1,14,s,3.529411765,13,8,38,40,8.644444444,518.6666667,128.6444444,NA,NA,NA,NA,NA,NA,NA,600,13,13,0,5040,5041,5042,1.164,1.182,1.175
20160705,8,23,20160630,5,5dAM,Y,8,49,40,8.827777778,128.8277778,C250,1,14,f,100,14,8,54,40,8.911111111,534.6666667,128.9111111,NA,NA,NA,NA,NA,NA,NA,600,14,14,0,5043,5044,5045,1.201,1.142,1.111
20160705,8,24,20160630,5,5dAM,Y,9,6,0,9.1,129.1,C250,2,14,c,30,14,9,11,30,9.191666667,551.5,129.1916667,9,12,2,9.200555556,552.0333333,0.533333333,16,0.533333333,9,8,0.428571429,5046,5048,5049,1.201,1.168,1.185
20160706,9,25,20160701,5,5dAM,Y,5,59,10,5.986111111,125.9861111,C267,2,14,f,100,14,6,5,30,6.091666667,365.5,126.0916667,NA,NA,NA,NA,NA,NA,NA,600,14,14,0,5133,5134,5135,1.171,1.165,1.117
20160706,9,26,20160701,5,5dAM,Y,6,19,10,6.319444444,126.3194444,C267,1,14,s,3.529411765,14,6,25,30,6.425,385.5,126.425,6,26,24,6.44,386.4,0.9,3.176470588,0.9,12,12,0.142857143,5136,5137,5138,1.122,1.171,1.133
20160706,9,27,20160701,5,5dAM,Y,6,35,40,6.594444444,126.5944444,C268,1,14,c,30,14,6,41,30,6.691666667,401.5,126.6916667,6,41,38,6.693888889,401.6333333,0.133333333,4,0.133333333,2,2,0.857142857,5139,5140,5141,1.095,1.076,1.035
20160706,10,28,20160701,5,5dAM,Y,6,52,15,6.870833333,126.8708333,C256,3,15,f,100,15,6,58,0,6.966666667,418,126.9666667,6,58,33,6.975833333,418.55,0.55,55,0.55,10,10,0.333333333,5143,5144,5145,1.15,1.107,1.177
